City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
675,Huanren,CN,72.61,few clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
678,Ardakan,IR,72.07,clear sky,32.31,54.0175,Ardakan Hotel
679,Gorontalo,ID,87.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
680,Araouane,ML,81.19,broken clouds,18.9048,-3.5265,
681,Majene,ID,86.65,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
685,Bayji,IQ,78.37,clear sky,34.9311,43.487,مروان /عدنان
686,Lorengau,PG,83.39,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
687,Hirara,JP,71.87,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
691,Bourail,NC,76.62,broken clouds,-21.5667,165.4833,Motel Allamanda
692,Mambajao,PH,83.75,broken clouds,9.2504,124.7156,SomeWhere Else boutique resort
693,Bridgetown,BB,79.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
