City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Campos Altos,BR,-19.6961,-46.1714,66.25,58,52,4.23,broken clouds
80,Flinders,AU,-34.5833,150.8552,78.19,58,21,7.0,few clouds
81,Lebu,CL,-37.6167,-73.65,52.65,91,99,15.7,overcast clouds
82,Carnarvon,AU,-24.8667,113.6333,84.27,26,4,13.8,clear sky
83,Brande,DK,55.9381,9.1218,42.75,86,41,5.48,scattered clouds
84,Solnechnyy,RU,50.7214,136.6319,41.79,70,82,5.14,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,57.92,84,100,2.86,overcast clouds
86,Northam,GB,51.0333,-4.2167,49.6,96,71,6.29,broken clouds
87,Lagoa,PT,39.05,-27.9833,61.12,88,40,7.2,scattered clouds
88,Srikakulam,IN,18.3,83.9,91.29,55,33,13.2,scattered clouds
89,San Patricio,US,28.017,-97.5169,80.46,92,6,10.47,clear sky
90,Lukovetskiy,RU,64.2956,41.9211,29.86,79,100,11.34,overcast clouds
91,Altamont,US,42.2068,-121.7372,57.04,44,0,9.22,clear sky
92,Mehamn,NO,71.0357,27.8492,24.75,80,100,16.11,overcast clouds
93,Kahului,US,20.8947,-156.47,78.82,70,40,18.41,scattered clouds
94,Opuwo,NA,-18.0607,13.84,58.93,54,0,6.08,clear sky
95,Holme,DK,56.1138,10.1725,43.18,88,34,0.92,scattered clouds
96,San Quintin,MX,30.4833,-115.95,56.97,81,15,7.02,few clouds
97,Carutapera,BR,-1.195,-46.02,75.0,95,100,3.53,overcast clouds
98,Diamantino,BR,-14.4086,-56.4461,66.69,91,99,8.46,overcast clouds
99,Bredasdorp,ZA,-34.5322,20.0403,58.03,98,33,1.92,scattered clouds
100,Waddan,LY,29.1614,16.139,62.96,45,42,9.35,scattered clouds
101,East London,ZA,-33.0153,27.9116,63.54,100,40,4.61,scattered clouds
102,Camargo,MX,27.6667,-105.1667,77.5,8,36,10.02,scattered clouds
103,Tasiilaq,GL,65.6145,-37.6368,21.88,93,100,6.24,light snow
104,Yerbogachen,RU,61.2767,108.0108,33.62,79,100,13.53,light snow
105,Cherskiy,RU,68.75,161.3,34.75,98,100,10.51,overcast clouds
106,Vardo,NO,70.3705,31.1107,27.61,65,97,21.56,light snow
107,Ippy,CF,6.2679,21.2247,68.81,94,95,2.73,light rain
108,Ilulissat,GL,69.2167,-51.1,14.23,97,100,9.08,overcast clouds
109,Geraldton,AU,-28.7667,114.6,75.61,38,5,19.57,clear sky
110,Busselton,AU,-33.65,115.3333,63.55,44,4,13.58,clear sky
111,Tunoshna,RU,57.5459,40.1254,39.18,81,0,6.71,clear sky
112,Hurricane,US,37.1753,-113.2899,65.7,28,3,9.44,clear sky
113,Seymchan,RU,62.8833,152.4333,34.59,77,84,2.06,broken clouds
114,Skjervoy,NO,70.0311,20.9714,30.2,61,100,27.87,snow
115,Kaitangata,NZ,-46.2817,169.8464,59.2,73,10,3.98,clear sky
116,La Libertad,EC,-2.2333,-80.9,73.06,83,75,11.5,broken clouds
117,Castro,BR,-24.7911,-50.0119,58.17,97,100,8.16,light rain
118,Norman Wells,CA,65.282,-126.8329,57.24,44,75,6.91,broken clouds
119,Tsiroanomandidy,MG,-18.7667,46.0333,66.78,79,91,4.34,overcast clouds
120,Hithadhoo,MV,-0.6,73.0833,80.19,86,100,23.55,overcast clouds
121,Kutum,SD,14.2,24.6667,73.02,64,69,7.23,broken clouds
122,Urumqi,CN,43.801,87.6005,68.95,43,0,4.47,clear sky
123,Muyezerskiy,RU,63.9333,31.65,26.19,83,38,9.95,scattered clouds
124,Narsaq,GL,60.9167,-46.05,29.41,82,95,2.06,overcast clouds
125,Korla,CN,41.7597,86.1469,81.75,12,71,0.31,broken clouds
126,Victoria,HK,22.2855,114.1577,83.97,57,28,10.0,scattered clouds
127,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.81,90,95,1.41,overcast clouds
128,Asfi,MA,32.2994,-9.2372,59.34,79,48,3.47,scattered clouds
129,Butembo,CD,0.15,29.2833,56.53,96,81,3.67,broken clouds
130,Mahibadhoo,MV,3.7833,72.9667,82.6,73,100,13.2,overcast clouds
131,Imuris,MX,30.7833,-110.8667,68.4,36,100,7.34,overcast clouds
132,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,100,13.8,light snow
133,Codrington,AU,-38.2667,141.9667,58.77,44,99,16.35,light rain
134,Birjand,IR,32.8663,59.2211,59.47,58,0,4.61,clear sky
135,Clyde River,CA,70.4692,-68.5914,10.63,67,40,9.22,scattered clouds
136,Wamba,NG,8.9333,8.6,74.73,70,68,2.57,broken clouds
137,Zharkent,KZ,44.1628,80.0,74.52,46,100,6.93,overcast clouds
138,Vaini,TO,-21.2,-175.2,80.76,69,75,8.05,broken clouds
139,Uchiza,PE,-8.4592,-76.4633,72.61,91,84,2.01,broken clouds
140,Meulaboh,ID,4.1363,96.1285,81.59,76,99,5.75,overcast clouds
141,Lerwick,GB,60.1545,-1.1494,46.4,94,100,15.08,overcast clouds
142,Jamestown,US,42.097,-79.2353,60.39,92,40,11.99,scattered clouds
143,San Marcos,US,33.1434,-117.1661,60.85,80,0,3.44,clear sky
144,Yellowknife,CA,62.456,-114.3525,43.32,52,40,19.57,scattered clouds
145,Katobu,ID,-4.9408,122.5276,85.62,72,59,3.24,light rain
146,Thompson,CA,55.7435,-97.8558,28.56,64,40,4.61,scattered clouds
147,Cidreira,BR,-30.1811,-50.2056,64.74,89,100,16.24,overcast clouds
148,Pingliang,CN,35.5392,106.6861,75.88,23,0,7.07,clear sky
149,Creel,MX,27.75,-107.6333,49.66,25,100,5.03,overcast clouds
150,Torbay,CA,47.6666,-52.7314,38.28,93,100,13.8,light intensity drizzle
151,Kodiak,US,57.79,-152.4072,44.11,81,100,5.75,overcast clouds
152,Faanui,PF,-16.4833,-151.75,81.91,73,29,11.05,scattered clouds
153,Hervey Bay,AU,-25.2986,152.8535,79.02,70,10,5.01,clear sky
154,Mareeba,AU,-17.0,145.4333,82.49,70,25,5.23,scattered clouds
155,Mandera,KE,3.9366,41.867,77.85,73,4,13.13,clear sky
156,Butaritari,KI,3.0707,172.7902,81.84,75,22,11.59,few clouds
157,Namibe,AO,-15.1961,12.1522,77.13,65,69,1.21,broken clouds
158,Sakaiminato,JP,35.55,133.2333,76.98,29,0,13.8,clear sky
159,Mazatlan,MX,23.2167,-106.4167,72.91,87,8,1.01,clear sky
160,Zhigalovo,RU,54.8097,105.1578,45.14,55,100,8.59,light rain
161,Bengkulu,ID,-3.8004,102.2655,84.06,69,92,7.09,overcast clouds
162,Ayagoz,KZ,47.9714,80.4392,48.94,31,100,20.49,overcast clouds
163,Naze,JP,28.3667,129.4833,74.32,60,100,13.85,overcast clouds
164,Sao Filipe,CV,14.8961,-24.4956,71.08,81,13,3.69,few clouds
165,Abha,SA,18.2164,42.5053,62.42,55,0,0.0,clear sky
166,Corrales,US,35.2378,-106.6067,72.48,14,0,19.57,clear sky
167,Alofi,NU,-19.0595,-169.9187,78.69,65,72,8.05,broken clouds
168,Foggia,IT,41.45,15.5333,51.58,93,20,4.61,mist
169,Ishigaki,JP,24.3448,124.1572,71.73,100,75,16.11,light intensity shower rain
170,Iwaki,JP,37.05,140.8833,76.77,48,0,5.01,clear sky
171,Kuytun,RU,54.3419,101.5036,42.35,65,98,11.7,light rain
172,Ashington,GB,50.9331,-0.3909,52.11,89,88,4.0,overcast clouds
173,Aloleng,PH,16.1307,119.7824,85.87,66,84,8.28,broken clouds
174,Bonthe,SL,7.5264,-12.505,79.09,86,1,5.23,light rain
175,Sangar,RU,63.9242,127.4739,34.43,90,100,11.01,light snow
176,Cobija,BO,-11.0267,-68.7692,68.09,99,100,7.02,overcast clouds
177,Guerrero Negro,MX,27.9769,-114.0611,59.41,80,94,13.18,overcast clouds
178,Mount Gambier,AU,-37.8333,140.7667,58.91,55,75,19.57,broken clouds
179,Hamilton,US,39.1834,-84.5333,64.08,88,53,3.0,broken clouds
180,Antofagasta,CL,-23.65,-70.4,58.28,82,41,2.8,scattered clouds
181,Lompoc,US,34.6391,-120.4579,58.78,77,0,34.0,clear sky
182,Sambava,MG,-14.2667,50.1667,74.61,88,47,9.31,scattered clouds
183,Le Port,RE,-20.9373,55.2919,75.25,62,20,3.56,few clouds
184,Chuy,UY,-33.6971,-53.4616,55.45,85,5,4.25,clear sky
185,Pangoa,PE,-12.1167,-73.0,67.6,98,77,3.06,broken clouds
186,Airai,TL,-8.9266,125.4092,74.61,58,42,3.69,scattered clouds
187,Ankazobe,MG,-18.3167,47.1167,61.03,85,65,9.48,broken clouds
188,Provideniya,RU,64.3833,-173.3,21.36,68,75,4.47,light snow
189,Santander,ES,43.4647,-3.8044,54.46,91,20,5.75,few clouds
190,Batemans Bay,AU,-35.7167,150.1833,75.07,48,29,7.23,light rain
191,Nanortalik,GL,60.1432,-45.2371,31.41,89,57,7.07,broken clouds
192,Aykhal,RU,66.0,111.5,28.69,94,100,16.98,light snow
193,Bambous Virieux,MU,-20.3428,57.7575,76.21,77,9,13.42,light rain
194,Gariadhar,IN,21.5333,71.5833,90.23,35,0,4.94,clear sky
195,Noumea,NC,-22.2763,166.4572,80.58,99,64,14.79,broken clouds
196,Hay River,CA,60.8156,-115.7999,44.58,57,75,14.97,broken clouds
197,Tharad,IN,24.3961,71.6267,90.5,41,0,11.9,clear sky
198,Mahebourg,MU,-20.4081,57.7,76.24,78,10,13.18,light rain
199,Winchester,GB,51.0651,-1.3187,52.29,92,99,4.52,overcast clouds
200,College,US,64.8569,-147.8028,55.38,36,75,5.75,broken clouds
201,Davis,US,41.0005,-112.0013,46.35,62,37,1.99,scattered clouds
202,Ndele,CF,8.4109,20.6473,72.77,82,100,4.59,light rain
203,Moussoro,TD,13.6408,16.4901,84.61,37,85,10.0,overcast clouds
204,Hofn,IS,64.2539,-15.2082,37.62,63,100,18.72,overcast clouds
205,Chokurdakh,RU,70.6333,147.9167,31.86,100,100,5.53,overcast clouds
206,Adana,TR,36.985,35.2881,68.02,73,0,2.3,clear sky
207,Dicabisagan,PH,17.0818,122.4157,87.69,61,74,9.55,broken clouds
208,Rincon,US,32.296,-81.2354,74.86,95,84,6.51,broken clouds
